7.1770 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
173.4926 	EXP 	window1: blendMode = 'avg'
173.5093 	EXP 	window1: blendMode = 'avg'
173.5259 	EXP 	window1: blendMode = 'avg'
173.5425 	EXP 	window1: blendMode = 'avg'
173.5593 	EXP 	window1: blendMode = 'avg'
173.5759 	EXP 	window1: blendMode = 'avg'
173.5926 	EXP 	window1: blendMode = 'avg'
173.6091 	EXP 	window1: blendMode = 'avg'
173.6260 	EXP 	window1: blendMode = 'avg'
173.6425 	EXP 	window1: blendMode = 'avg'
173.6591 	EXP 	window1: blendMode = 'avg'
173.6758 	EXP 	window1: blendMode = 'avg'
173.6925 	EXP 	window1: blendMode = 'avg'
173.7096 	EXP 	window1: blendMode = 'avg'
173.7258 	EXP 	window1: blendMode = 'avg'
173.7425 	EXP 	window1: blendMode = 'avg'
173.7591 	EXP 	window1: blendMode = 'avg'
173.7759 	EXP 	window1: blendMode = 'avg'
173.7926 	EXP 	window1: blendMode = 'avg'
173.8092 	EXP 	window1: blendMode = 'avg'
173.8258 	EXP 	window1: blendMode = 'avg'
173.8424 	EXP 	window1: blendMode = 'avg'
173.8591 	EXP 	window1: blendMode = 'avg'
173.8758 	EXP 	window1: blendMode = 'avg'
173.8925 	EXP 	window1: blendMode = 'avg'
173.9091 	EXP 	window1: blendMode = 'avg'
173.9259 	EXP 	window1: blendMode = 'avg'
173.9423 	EXP 	window1: blendMode = 'avg'
173.9591 	EXP 	window1: blendMode = 'avg'
173.9759 	EXP 	window1: blendMode = 'avg'
173.9925 	EXP 	window1: blendMode = 'avg'
174.0090 	EXP 	window1: blendMode = 'avg'
174.0256 	EXP 	window1: blendMode = 'avg'
174.0425 	EXP 	window1: blendMode = 'avg'
174.0590 	EXP 	window1: blendMode = 'avg'
174.0757 	EXP 	window1: blendMode = 'avg'
174.0924 	EXP 	window1: blendMode = 'avg'
174.1090 	EXP 	window1: blendMode = 'avg'
