Tiempo,ImagenesE,ClaveEn,Emocion,NumEn,Enunciado,ActoHabla,Clave,Cara,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Bloque2.thisRepN,Bloque2.thisTrialN,Bloque2.thisN,Bloque2.thisIndex,Bloque1.thisRepN,Bloque1.thisTrialN,Bloque1.thisN,Bloque1.thisIndex,Bloque3.thisRepN,Bloque3.thisTrialN,Bloque3.thisN,Bloque3.thisIndex,Resp_Bloque2.keys,Resp_Bloque2.rt,Resp_Bloque1.keys,Resp_Bloque1.rt,Resp_Bloque3.keys,Resp_Bloque3.rt,date,frameRate,expName,session,participant,
2.5,Stim\\03_019.jpg,Tr19_5,Tristeza,5,Emilio revisa el formato del archivo.,Afirmación,Tr19,19,,,,,0,70,70,70,,,,,,,,,3,0.450708819818,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
2.5,Stim\\05_028.jpg,En28_13,Enojo,13,Rocío consume alimentos nutritivos.,Afirmación,En28,28,,,,,0,71,71,71,,,,,,,,,2,0.70013092907,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
0.25,Stim\\05_075.jpg,En75_15,Enojo,15,Ángel envía una carta a la abuela.,Afirmación,En75,75,,,,,0,72,72,72,,,,,,,,,2,0.850145119746,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
2.5,Stim\\05_019.jpg,En19_6,Enojo,6,Eduardo camina hacia la biblioteca.,Afirmación,En19,19,,,,,0,73,73,73,,,,,,,,,2,0.700318353096,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
2.5,Stim\\05_078.jpg,En78_10,Enojo,10,Laura finaliza la obra.,Afirmación,En78,78,,,,,0,74,74,74,,,,,,,,,2,3.36604670964,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
2.5,Stim\\05_019.jpg,En19_9,Enojo,9,Marco colabora en la organización del evento.,Afirmación,En19,19,,,,,0,75,75,75,,,,,,,,,2,0.950004640976,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
2.5,Stim\\02_078.jpg,Al78_6,Alegría,6,Eduardo camina hacia la biblioteca.,Afirmación,Al78,78,,,,,0,76,76,76,,,,,,,,,3,0.550683026702,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
2.5,Stim\\05_078.jpg,En78_13,Enojo,13,Rocío consume alimentos nutritivos.,Afirmación,En78,78,,,,,0,77,77,77,,,,,,,,,2,0.550170288115,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
0.25,Stim\\05_028.jpg,En28_2,Enojo,2,Jonathan pasea al perro.,Afirmación,En28,28,,,,,0,78,78,78,,,,,,,,,2,0.600289257747,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
0.25,Stim\\05_019.jpg,En19_6,Enojo,6,Eduardo camina hacia la biblioteca.,Afirmación,En19,19,,,,,0,79,79,79,,,,,,,,,2,0.750228925061,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
2.5,Stim\\03_019.jpg,Tr19_11,Tristeza,11,María asiste a la cena.,Afirmación,Tr19,19,,,,,0,80,80,80,,,,,,,,,3,0.48376907932,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
2.5,Stim\\05_028.jpg,En28_11,Enojo,11,María asiste a la cena.,Afirmación,En28,28,,,,,0,81,81,81,,,,,,,,,2,0.650436787231,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
0.25,Stim\\02_078.jpg,Al78_9,Alegría,9,Marco colabora en la organización del evento.,Afirmación,Al78,78,,,,,0,82,82,82,,,,,,,,,3,0.583625030568,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
0.25,Stim\\05_019.jpg,En19_13,Enojo,13,Rocío consume alimentos nutritivos.,Afirmación,En19,19,,,,,0,83,83,83,,,,,,,,,2,0.700524519525,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
0.25,Stim\\03_078.jpg,Tr78_11,Tristeza,11,María asiste a la cena.,Afirmación,Tr78,78,,,,,0,84,84,84,,,,,,,,,4,0.750218661364,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
2.5,Stim\\05_028.jpg,En28_5,Enojo,5,Emilio revisa el formato del archivo.,Afirmación,En28,28,,,,,0,85,85,85,,,,,,,,,2,0.700226872321,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
0.25,Stim\\03_028.jpg,Tr28_10,Tristeza,10,Laura finaliza la obra.,Afirmación,Tr28,28,,,,,0,86,86,86,,,,,,,,,4,0.966951789185,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
0.25,Stim\\05_019.jpg,En19_11,Enojo,11,María asiste a la cena.,Afirmación,En19,19,,,,,0,87,87,87,,,,,,,,,2,1.01675124548,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
2.5,Stim\\03_028.jpg,Tr28_9,Tristeza,9,Marco colabora en la organización del evento.,Afirmación,Tr28,28,,,,,0,88,88,88,,,,,,,,,4,0.599870231174,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
2.5,Stim\\05_019.jpg,En19_8,Enojo,8,Estefanía despierta a las 7 a.m.,Afirmación,En19,19,,,,,0,89,89,89,,,,,,,,,2,0.650192689749,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
0.25,Stim\\03_075.jpg,Tr75_9,Tristeza,9,Marco colabora en la organización del evento.,Afirmación,Tr75,75,,,,,0,90,90,90,,,,,,,,,4,0.550357712142,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
2.5,Stim\\02_075.jpg,Al75_3,Alegría,3,Andrea diseña la portada del libro.,Afirmación,Al75,75,,,,,0,91,91,91,,,,,,,,,3,0.600232138044,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
